driverId,week,hours-logged,miles-logged
92,30,80,3600
101,5,52,2100
80,5,73,3300
79,36,70,0
61,48,62,400
108,19,55,700
29,33,63,400
16,20,74,2900
89,17,65,2100
17,49,63,900
33,46,70,4000
26,42,52,3300
78,41,55,2200
108,14,57,2000
18,21,67,1500
55,13,68,3700
85,33,72,100
22,32,76,3300
75,36,61,3200
77,30,67,600
87,6,53,900
28,42,54,1000
51,45,76,900
54,15,60,2900
101,34,71,1200
86,38,75,1800
61,9,68,1900
28,39,78,3100
49,23,65,4000
65,5,71,2000
22,50,70,2100
98,7,76,1300
64,10,69,3600
73,12,69,3400
33,18,50,2900
46,29,58,3800
65,19,56,3000
36,21,71,3600
29,17,56,300
57,12,57,2100
75,21,73,800
64,45,80,100
45,4,62,2000
44,35,77,3700
108,12,80,3600
88,35,70,300
91,7,75,2400
30,5,53,200
52,1,68,2000
108,5,68,3800
54,12,52,2900
103,36,52,3900
93,44,62,800
74,26,75,700
59,41,59,300
11,28,80,1300
98,10,75,2800
60,35,51,1100
97,8,68,700
101,22,78,2900
26,52,74,1200
30,1,59,400
42,45,59,3200
30,44,59,1900
35,20,74,200
64,45,62,2200
15,39,74,3500
82,24,74,2800
78,44,78,2100
18,8,71,1400
25,40,71,3100
54,21,61,2900
43,27,50,3900
70,16,64,1200
60,6,61,3600
88,37,60,2500
101,44,53,2300
94,29,80,900
82,2,65,1400
105,33,73,2400
24,6,69,2500
31,35,71,2200
29,48,68,2400
61,3,59,1500
57,3,60,2100
31,35,76,1000
34,30,61,800
108,13,67,200
107,22,50,1900
54,39,77,2000
10,51,71,200
81,33,67,2300
104,3,76,3100
33,20,70,3700
108,47,67,2100
37,7,62,1600
14,39,52,3100
36,47,50,3900
70,47,57,2900
67,16,58,100
20,48,55,3400
49,5,69,3000
61,7,52,500
89,5,65,3500
57,50,65,400
29,5,58,600
77,51,53,2700
87,47,55,3000
17,40,63,1000
70,35,50,800
91,50,75,2000
75,10,61,2800
104,26,78,600
101,43,61,2800
13,46,53,900
85,21,70,1100
88,10,78,3600
76,51,78,1900
16,33,63,1000
33,41,52,400
20,5,58,500
24,50,75,800
25,31,73,2400
